Use cases,Module (ID),Category,Section,Field (label),Purpose / definition,Required @ go-live,Editable by supplier,Data source,Field Type,Information level (NART vs. Supplier),Dropdown / default source,System of record (after submit),Validation / rules,Used by (workflows),Notes (incl. supplier burden rationale)
MDF,30,Full Material Declaration,Material 4,Substance Name,Comments from supplier,Yes,yes,manual entry by supplier,Freetext,NART or NART Group,Free text field from supplier,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,30,Full Material Declaration,Material 4,CAS No. ,Comments from supplier,Yes,yes,manual entry by supplier,Freetext,NART or NART Group,Free text field from supplier,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,30,Full Material Declaration,Material 4,"Substance concentration (in %)
The concentration of the substance as a percentage of the homogeneous mass of the material.",Comments from supplier,Yes,yes,manual entry by supplier,Freetext,NART or NART Group,Free text field from supplier,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,30,Full Material Declaration,Material 4,"Additional information
e.g. name of the product part where the substance is located, use of an applicable exception incl. number, measuring method.",Comments from supplier,Yes,yes,manual entry by supplier,Freetext,NART or NART Group,Free text field from supplier,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,30,Full Material Declaration,Material 5,Substance Name,Comments from supplier,Yes,yes,manual entry by supplier,Freetext,NART or NART Group,Free text field from supplier,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,30,Full Material Declaration,Material 5,CAS No. ,Comments from supplier,Yes,yes,manual entry by supplier,Freetext,NART or NART Group,Free text field from supplier,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,30,Full Material Declaration,Material 5,"Substance concentration (in %)
The concentration of the substance as a percentage of the homogeneous mass of the material.",Comments from supplier,Yes,yes,manual entry by supplier,Freetext,NART or NART Group,Free text field from supplier,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,30,Full Material Declaration,Material 5,"Additional information
e.g. name of the product part where the substance is located, use of an applicable exception incl. number, measuring method.",Comments from supplier,Yes,yes,manual entry by supplier,Freetext,NART or NART Group,Free text field from supplier,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,30,Full Material Declaration,Material 6,Substance Name,Comments from supplier,Yes,yes,manual entry by supplier,Freetext,NART or NART Group,Free text field from supplier,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,30,Full Material Declaration,Material 6,CAS No. ,Comments from supplier,Yes,yes,manual entry by supplier,Freetext,NART or NART Group,Free text field from supplier,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,30,Full Material Declaration,Material 6,"Substance concentration (in %)
The concentration of the substance as a percentage of the homogeneous mass of the material.",Comments from supplier,Yes,yes,manual entry by supplier,Freetext,NART or NART Group,Free text field from supplier,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,30,Full Material Declaration,Material 6,"Additional information
e.g. name of the product part where the substance is located, use of an applicable exception incl. number, measuring method.",Comments from supplier,Yes,yes,manual entry by supplier,Freetext,NART or NART Group,Free text field from supplier,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,30,Full Material Declaration,Material 7,Substance Name,Comments from supplier,Yes,yes,manual entry by supplier,Freetext,NART or NART Group,Free text field from supplier,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,30,Full Material Declaration,Material 7,CAS No. ,Comments from supplier,Yes,yes,manual entry by supplier,Freetext,NART or NART Group,Free text field from supplier,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,30,Full Material Declaration,Material 7,"Substance concentration (in %)
The concentration of the substance as a percentage of the homogeneous mass of the material.",Comments from supplier,Yes,yes,manual entry by supplier,Freetext,NART or NART Group,Free text field from supplier,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,30,Full Material Declaration,Material 7,"Additional information
e.g. name of the product part where the substance is located, use of an applicable exception incl. number, measuring method.",Comments from supplier,Yes,yes,manual entry by supplier,Freetext,NART or NART Group,Free text field from supplier,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,30,Full Material Declaration,Material 8,Substance Name,Comments from supplier,Yes,yes,manual entry by supplier,Freetext,NART or NART Group,Free text field from supplier,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,30,Full Material Declaration,Material 8,CAS No. ,Comments from supplier,Yes,yes,manual entry by supplier,Freetext,NART or NART Group,Free text field from supplier,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,30,Full Material Declaration,Material 8,"Substance concentration (in %)
The concentration of the substance as a percentage of the homogeneous mass of the material.",Comments from supplier,Yes,yes,manual entry by supplier,Freetext,NART or NART Group,Free text field from supplier,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,30,Full Material Declaration,Material 8,"Additional information
e.g. name of the product part where the substance is located, use of an applicable exception incl. number, measuring method.",Comments from supplier,Yes,yes,manual entry by supplier,Freetext,NART or NART Group,Free text field from supplier,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,30,Full Material Declaration,Material 9,Substance Name,Comments from supplier,Yes,yes,manual entry by supplier,Freetext,NART or NART Group,Free text field from supplier,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,30,Full Material Declaration,Material 9,CAS No. ,Comments from supplier,Yes,yes,manual entry by supplier,Freetext,NART or NART Group,Free text field from supplier,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,30,Full Material Declaration,Material 9,"Substance concentration (in %)
The concentration of the substance as a percentage of the homogeneous mass of the material.",Comments from supplier,Yes,yes,manual entry by supplier,Freetext,NART or NART Group,Free text field from supplier,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,30,Full Material Declaration,Material 9,"Additional information
e.g. name of the product part where the substance is located, use of an applicable exception incl. number, measuring method.",Comments from supplier,Yes,yes,manual entry by supplier,Freetext,NART or NART Group,Free text field from supplier,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,30,Full Material Declaration,Material 10,Substance Name,Comments from supplier,Yes,yes,manual entry by supplier,Freetext,NART or NART Group,Free text field from supplier,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,30,Full Material Declaration,Material 10,CAS No. ,Comments from supplier,Yes,yes,manual entry by supplier,Freetext,NART or NART Group,Free text field from supplier,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,30,Full Material Declaration,Material 10,"Substance concentration (in %)
The concentration of the substance as a percentage of the homogeneous mass of the material.",Comments from supplier,Yes,yes,manual entry by supplier,Freetext,NART or NART Group,Free text field from supplier,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,30,Full Material Declaration,Material 10,"Additional information
e.g. name of the product part where the substance is located, use of an applicable exception incl. number, measuring method.",Comments from supplier,Yes,yes,manual entry by supplier,Freetext,NART or NART Group,Free text field from supplier,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,31,Sustainability data (currently optional),Share of virgin fossil material,Substance concentration (in %),Comments from supplier,Yes,yes,manual entry by supplier,Freetext,NART or NART Group,Free text field from supplier,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,31,Sustainability data (currently optional),Share of virgin fossil material,"Additional information
Source of the recycled material (e.g., post-industrial vs. post consumer), type of recycling (e.g., mechanical), type of certification (e.g., ISCC, mass balanced), measuring method, etc.",Comments from supplier,Yes,yes,manual entry by supplier,Freetext,NART or NART Group,Free text field from supplier,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,31,Sustainability data (currently optional),Share of virgin bio-based material,Substance concentration (in %),Comments from supplier,Yes,yes,manual entry by supplier,Freetext,NART or NART Group,Free text field from supplier,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,31,Sustainability data (currently optional),Share of virgin bio-based material,"Additional information
Source of the recycled material (e.g., post-industrial vs. post consumer), type of recycling (e.g., mechanical), type of certification (e.g., ISCC, mass balanced), measuring method, etc.",Comments from supplier,Yes,yes,manual entry by supplier,Freetext,NART or NART Group,Free text field from supplier,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,31,Sustainability data (currently optional),Share of virgin other material,Substance concentration (in %),Comments from supplier,Yes,yes,manual entry by supplier,Freetext,NART or NART Group,Free text field from supplier,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,31,Sustainability data (currently optional),Share of virgin other material,"Additional information
Source of the recycled material (e.g., post-industrial vs. post consumer), type of recycling (e.g., mechanical), type of certification (e.g., ISCC, mass balanced), measuring method, etc.",Comments from supplier,Yes,yes,manual entry by supplier,Freetext,NART or NART Group,Free text field from supplier,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,31,Sustainability data (currently optional),Share of recycled material,Substance concentration (in %),Comments from supplier,Yes,yes,manual entry by supplier,Freetext,NART or NART Group,Free text field from supplier,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,31,Sustainability data (currently optional),Share of recycled material,"Additional information
Source of the recycled material (e.g., post-industrial vs. post consumer), type of recycling (e.g., mechanical), type of certification (e.g., ISCC, mass balanced), measuring method, etc.",Comments from supplier,Yes,yes,manual entry by supplier,Freetext,NART or NART Group,Free text field from supplier,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,31,Sustainability data (currently optional),Share of bio-based from agricultural waste/residue,Substance concentration (in %),Comments from supplier,Yes,yes,manual entry by supplier,Freetext,NART or NART Group,Free text field from supplier,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,31,Sustainability data (currently optional),Share of bio-based from agricultural waste/residue,"Additional information
Source of the recycled material (e.g., post-industrial vs. post consumer), type of recycling (e.g., mechanical), type of certification (e.g., ISCC, mass balanced), measuring method, etc.",Comments from supplier,Yes,yes,manual entry by supplier,Freetext,NART or NART Group,Free text field from supplier,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,31,Sustainability data (currently optional),Share of other circular material feedstock,Substance concentration (in %),Comments from supplier,Yes,yes,manual entry by supplier,Freetext,NART or NART Group,Free text field from supplier,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,31,Sustainability data (currently optional),Share of other circular material feedstock,"Additional information
Source of the recycled material (e.g., post-industrial vs. post consumer), type of recycling (e.g., mechanical), type of certification (e.g., ISCC, mass balanced), measuring method, etc.",Comments from supplier,Yes,yes,manual entry by supplier,Freetext,NART or NART Group,Free text field from supplier,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
SDS,1,SDS ,SDS,Listed the impacted NARTs,Connection between SDS file to tesa NARTs,Yes,no,input should come from tesa connected to mass upload or single workflow. ,Information field,NART or NART Group,Text within NARTs,Keep information as requried in Report & Upload SDS from supplier in sharepoint. ,,,Mandatory
SDS,1,SDS ,SDS,SDS file Upload or LINK to online file,SDS docuement,Yes,yes,manual entry by supplier,Docuement upload or Lin to automatic download from internet,NART or NART Group,Docuement upload or Lin to automatic download from internet,Keep information as requried in Report & Upload SDS from supplier in sharepoint. ,,,Mandatory
PCF,1,Corporate report,Sustainability / ESG Report Upload – Submission,Information from supplier avaliable?,"Supplier can select if information is avaliable for Chapter 1 or not. If not lines 3-6 will be not requried. If yes, Lines 3-6 will be mandatory to be answered by supplier. ",Yes,yes,manual entry by supplier,Check box,supplier,Supplier portal chapter selection,Keep information as requried in report & Create PDF based in PCF formular from supplier including attachments,Must exist,Selection if the information is avaliable. ,Mandatory
PCF,1,Corporate report,Sustainability / ESG Report Upload – Submission,Supplier (SupplierID),Identify submitting supplier,Yes,no,Supplier Portal,Information field,supplier,SAP master data / procurement context,Keep information as requried in report & Create PDF based in PCF formular from supplier including attachments,Must exist,"Routing, linking",
PCF,1,Corporate report,Sustainability / ESG Report Upload – Submission,Reporting year,Which year the report covers,Yes,yes,manual entry by supplier,Dropdown,supplier,Last 6 years + current year,Keep information as requried in report & Create PDF based in PCF formular from supplier including attachments,Must be 4-digit year,"Trend analysis, governance",Small manual input that improves search & automation
PCF,1,Corporate report,Sustainability / ESG Report Upload – Submission,Document file(s),ESG / sustainability report evidence,Yes,yes,manual entry by supplier,File upload,supplier,Supplier file picker,Keep information as requried in report & Create PDF based in PCF formular from supplier including attachments,Allowed types; virus scan,"Extraction (targets, policies), evidence store",
PCF,1,Corporate report,Sustainability / ESG Report Upload – Submission,Supplier comment (optional),"Short message to clarify context (e.g., which product variants)",Yes,yes,manual entry by supplier,Short text,supplier,Free text,Keep information as requried in report & Create PDF based in PCF formular from supplier including attachments,Max length; no sensitive data guidance,Triage / exception handling,Optional; avoids forcing duplication of document content
PCF,2,GHG & Energy,GHG / Energy Evidence Upload – Submission,Information from supplier avaliable?,"Supplier can select if information is avaliable for Chapter 2 or not. If not lines 8-10 will be not requried. If yes, Lines 8-10 will be mandatory to be answered by supplier. ",Yes,yes,manual entry by supplier,Check box,supplier,Supplier portal chapter selection,Keep information as requried in report & Create PDF based in PCF formular from supplier including attachments,Must exist,Selection if the information is avaliable. ,Mandatory
PCF,2,GHG & Energy,GHG / Energy Evidence Upload – Submission,Evidence type,"Classify evidence for correct extraction (inventory, contract, certificate, audit, etc.)",Yes,yes,manual entry by supplier,Dropdown,supplier,GHG inventory/report; Assurance statement; Energy consumption report; Renewable electricity contract/PPA; EAC/GoO/REC certificate; Energy audit; Decarbonization roadmap/transition plan; Other supporting evidence,Keep information as requried in report & Create PDF based in PCF formular from supplier including attachments,Required; one per upload (or support multiple docs with same type),Route to correct extraction workflow,Prevents misclassification and rework
PCF,2,GHG & Energy,GHG / Energy Evidence Upload – Submission,Document file(s),Evidence document(s),Yes,yes,manual entry by supplier,File upload,supplier,Supplier file picker,Keep information as requried in report & Create PDF based in PCF formular from supplier including attachments,Allowed types; virus scan,"Extraction (claims, years, sites), evidence store",
PCF,2,GHG & Energy,GHG / Energy Evidence Upload – Submission,Supplier comment (optional),"Short message to clarify context (e.g., which product variants)",Yes,yes,manual entry by supplier,Short text,supplier,Free text,Keep information as requried in report & Create PDF based in PCF formular from supplier including attachments,Max length; no sensitive data guidance,Triage / exception handling,Optional; avoids forcing duplication of document content
PCF,3,PCF,PCF Upload – Submission,Information from supplier avaliable?,"Supplier can select if information is avaliable for Chapter 3 or not. If not lines 12-17 will be not requried. If yes, Lines 12-17 will be mandatory to be answered by supplier. ",Yes,yes,manual entry by supplier,Check box,NART or NART Group,Supplier portal chapter selection,Keep information as requried in report & Create PDF based in PCF formular from supplier including attachments,Must exist,Selection if the information is avaliable. ,Mandatory
PCF,3,PCF,PCF Upload – Submission,Supplier selection impacted NARTS,Selected NART specific data or the inquiry,Yes,no,Information field (Part of the input from buyer by creating the inquiry workflow in supplier portal.,Information field,NART or NART Group,SAP master data / procurement context,Keep information as requried in report & Create PDF based in PCF formular from supplier including attachments,NART list from SAP avaliable for supplier selction. Must exist; cannot be edited by supplier,"Routing, access control, linking submissions",Prefilled to avoid supplier effort
PCF,3,PCF,PCF Upload – Submission,Submission ID / Workflow number,Unique identifier for the upload event,Yes,yes,manual entry by supplier,System-generated,NART or NART Group,Auto,Keep information as requried in report & Create PDF based in PCF formular from supplier including attachments,"Auto-generated (Format: ""YYYYMMDD_HHMMSS_SupplierID""); immutable","Audit trail, versioning",Ensures traceability
PCF,3,PCF,PCF Upload – Submission,Document file(s),PCF evidence document(s) to be parsed and audited,Yes,yes,manual entry by supplier,File upload,NART or NART Group,Supplier file picker,Keep information as requried in report & Create PDF based in PCF formular from supplier including attachments,Allowed types: PDF/DOCX/XLSX; virus scan; size limits,"Extraction, usability checks, audit evidence store",Evidence-first: avoids free-text claims
PCF,3,PCF,PCF Upload – Submission,Applies to purchased NART(s),Link PCF to the relevant tesa purchased category(ies),Yes,yes,manual entry by supplier,Multi-select dropdown,NART or NART Group,SAP master data / procurement context,Keep information as requried in report & Create PDF based in PCF formular from supplier including attachments,Must select ≥1; only show NARTs relevant to supplier if available,"EF mapping, allocation, hotspotting, forecasting inputs",Manual because NART mapping is tesa-specific; reduces extraction ambiguity
PCF,3,PCF,PCF Upload – Submission,Confidentiality level,Controls internal sharing/visibility of uploaded PCF,Yes,yes,manual entry by supplier,Dropdown,NART or NART Group,Fixed list: Public / tesa-only / NDA-restricted,Keep information as requried in report & Create PDF based in PCF formular from supplier including attachments,Default tesa-only; restrict download if NDA-restricted,"Governance, access control",Protects supplier trust; avoids later rework
PCF,3,PCF,PCF Upload – Submission,Supplier comment (optional),"Short message to clarify context (e.g., which product variants)",Yes,yes,manual entry by supplier,Short text,NART or NART Group,Free text,Keep information as requried in report & Create PDF based in PCF formular from supplier including attachments,Max length; no sensitive data guidance,Triage / exception handling,Optional; avoids forcing duplication of document content
PCF,3,PCF,PCF Upload – Submission,Site name,Supplier site identifier (human-readable),Yes,yes,manual entry by supplier,Freetext,NART or NART Group,Supplier,Keep information as requried in report & Create PDF based in PCF formular from supplier including attachments,Non-empty; uniqueness recommended per supplier,"Site-level mapping, allocation",Cannot be reliably extracted due to naming variance
PCF,3,PCF,PCF Upload – Submission,Country,Site country for geography logic,Yes,yes,manual entry by supplier,Dropdown,NART or NART Group,ISO country list,Keep information as requried in report & Create PDF based in PCF formular from supplier including attachments,Required; ISO-coded,"Regional grid factors, plausibility checks",
PCF,3,PCF,PCF Upload – Submission,Rough share of tesa-relevant output by NART (optional),Optional indicative split if multiple NARTs/site,No,yes,manual entry by supplier,Dropdown,NART or NART Group,0–25/25–50/50–75/75–100,Keep information as requried in report & Create PDF based in PCF formular from supplier including attachments,"If multiple NARTs, show per-NART band","Allocation plausibility, prioritization",Keeps supplier burden low while improving allocation integrity
Certificates,1,Certificates,Certificates,Certificate selection,Supplier must informed the way this topic has been confirmed,Yes,yes,manual entry by supplier,Dropdown,Supplier,"ISO 9001 - Quality Management  / ISO 14001 - Environmental Management / ISO 45001 - Occupational, Health & Safety  / ISO 50001 - Energy Management / IATF 16949 - Automotive Quality Management Standard ",Keep information as requrierd in report & save certificate attched sharepoint,,,Mandatory
Certificates,1,Certificates,Certificates,Certificate for supplier entity,Comments from supplier,Yes,yes,manual entry by supplier,Freetext,Supplier,Free text field from supplier,Keep information as requrierd in report & save certificate attched sharepoint,,,Mandatory
Certificates,1,Certificates,Certificates,Certificate valid until,Date for valid of certificates,Yes,yes,manual entry by supplier,Date,Supplier,DD/MM/YYYY,Keep information as requrierd in report & save certificate attched sharepoint,,,Mandatory
Certificates,1,Certificates,Certificates,Certificate file Upload or LINK to online file,SDS docuement,Yes,yes,manual entry by supplier,Docuement upload or Lin to automatic download from internet,Supplier,Docuement upload or Lin to automatic download from internet,Keep information as requrierd in report & save certificate attched sharepoint,,,Mandatory
